prb_id,src_addr,type_addr,region,cc,asn_4,asn_6,prefix_4,prefix_6,rtt,min,max,avg
1003966,2803:5440:ffff:ffff::129,IPv6,lacnic,AR,264738,264738,138.118.214.0/24,2803:5440:ffff::/48, 150.806593,150.571354,150.806593,150.6509583333
1003966,2803:5440:ffff:ffff::129,IPv6,lacnic,AR,264738,264738,138.118.214.0/24,2803:5440:ffff::/48,  150.571354,150.571354,150.806593,150.6509583333
12927,2800:300:6241:1eb0:a2f3:c1ff:fec4:591a,IPv6,lacnic,CL,27651,27651,181.43.6.0/24,2800:300:6240::/44, 5.662729,5.662729,11.436338,8.16697
12927,2800:300:6241:1eb0:a2f3:c1ff:fec4:591a,IPv6,lacnic,CL,27651,27651,181.43.6.0/24,2800:300:6240::/44, 7.401843,5.662729,11.436338,8.16697
12927,2800:300:6241:1eb0:a2f3:c1ff:fec4:591a,IPv6,lacnic,CL,27651,27651,181.43.6.0/24,2800:300:6240::/44,  11.436338,5.662729,11.436338,8.16697
24628,2804:1b3:a242:3a15:c66e:1fff:fe5b:e302,IPv6,lacnic,BR,27699,18881,191.193.0.0/16,2804:1b3:a000::/37, 113.7662,112.844012,113.7662,113.206173
24628,2804:1b3:a242:3a15:c66e:1fff:fe5b:e302,IPv6,lacnic,BR,27699,18881,191.193.0.0/16,2804:1b3:a000::/37, 112.844012,112.844012,113.7662,113.206173
24628,2804:1b3:a242:3a15:c66e:1fff:fe5b:e302,IPv6,lacnic,BR,27699,18881,191.193.0.0/16,2804:1b3:a000::/37,  113.008307,112.844012,113.7662,113.206173
26736,2a01:cb20:8051:9900:c66e:1fff:fe5b:e72a,IPv6,lacnic,GF,3215,3215,92.142.0.0/17,2a01:cb20:8000::/36, 76.87753,71.805155,76.87753,73.67839
26736,2a01:cb20:8051:9900:c66e:1fff:fe5b:e72a,IPv6,lacnic,GF,3215,3215,92.142.0.0/17,2a01:cb20:8000::/36, 72.352485,71.805155,76.87753,73.67839
26736,2a01:cb20:8051:9900:c66e:1fff:fe5b:e72a,IPv6,lacnic,GF,3215,3215,92.142.0.0/17,2a01:cb20:8000::/36,  71.805155,71.805155,76.87753,73.67839
27636,2804:431:d77e:f3aa:f6f2:6dff:fe5d:9428,IPv6,lacnic,BR,27699,27699,152.249.0.0/16,2804:431:d000::/37, 120.812493,117.952463,121.179175,119.981377
27636,2804:431:d77e:f3aa:f6f2:6dff:fe5d:9428,IPv6,lacnic,BR,27699,27699,152.249.0.0/16,2804:431:d000::/37, 117.952463,117.952463,121.179175,119.981377
27636,2804:431:d77e:f3aa:f6f2:6dff:fe5d:9428,IPv6,lacnic,BR,27699,27699,152.249.0.0/16,2804:431:d000::/37,  121.179175,117.952463,121.179175,119.981377
28197,2804:14d:688d:aba:f6f2:6dff:fe5d:c006,IPv6,lacnic,BR,28573,28573,201.75.160.0/19,2804:14d:688d::/48, 136.833346,133.59895,145.447696,138.626664
28197,2804:14d:688d:aba:f6f2:6dff:fe5d:c006,IPv6,lacnic,BR,28573,28573,201.75.160.0/19,2804:14d:688d::/48, 145.447696,133.59895,145.447696,138.626664
28197,2804:14d:688d:aba:f6f2:6dff:fe5d:c006,IPv6,lacnic,BR,28573,28573,201.75.160.0/19,2804:14d:688d::/48,  133.59895,133.59895,145.447696,138.626664
