prb_id,src_addr,type_addr,region,cc,asn_4,asn_6,prefix_4,prefix_6,rtt,min,max,avg
52459,2a01:cb22:187:4200:1:53ff:fea4:7b43,IPv6,afrinic,RE,3215,3215,83.198.0.0/16,2a01:cb22::/36,  204.130708,203.350417,210.802542,206.0945556667
54721,2a01:cb22:84b:c800:1:69ff:fede:1b1f,IPv6,afrinic,RE,3215,3215,83.198.0.0/16,2a01:cb22::/36, 197.096417,197.096417,557.220167,317.1553753333
54721,2a01:cb22:84b:c800:1:69ff:fede:1b1f,IPv6,afrinic,RE,3215,3215,83.198.0.0/16,2a01:cb22::/36, 557.220167,197.096417,557.220167,317.1553753333
54721,2a01:cb22:84b:c800:1:69ff:fede:1b1f,IPv6,afrinic,RE,3215,3215,83.198.0.0/16,2a01:cb22::/36,  197.149542,197.096417,557.220167,317.1553753333
55130,2c0f:f2a0:1000:0:1:abff:fe35:952,IPv6,afrinic,ZA,327849,327849,45.222.0.0/20,2c0f:f2a0:1000::/36, 5.484,4.434834,5.484,4.8326253333
55130,2c0f:f2a0:1000:0:1:abff:fe35:952,IPv6,afrinic,ZA,327849,327849,45.222.0.0/20,2c0f:f2a0:1000::/36, 4.579042,4.434834,5.484,4.8326253333
55130,2c0f:f2a0:1000:0:1:abff:fe35:952,IPv6,afrinic,ZA,327849,327849,45.222.0.0/20,2c0f:f2a0:1000::/36,  4.434834,4.434834,5.484,4.8326253333
6053,2c0f:ff40:30:161::4,IPv6,afrinic,ZA,10474,10474,197.80.0.0/13,2c0f:ff40::/26, 1.652327,0.942872,1.652327,1.179734
6053,2c0f:ff40:30:161::4,IPv6,afrinic,ZA,10474,10474,197.80.0.0/13,2c0f:ff40::/26, 0.942872,0.942872,1.652327,1.179734
6053,2c0f:ff40:30:161::4,IPv6,afrinic,ZA,10474,10474,197.80.0.0/13,2c0f:ff40::/26,  0.944003,0.942872,1.652327,1.179734
